zh	en	zh-TW	ja
清理结果同样会同步给其他设备（走墓碑，不是偷偷删行）。	Cleanup results also sync to other devices (via tombstones, not silent row deletes).	清理結果同樣會同步給其他裝置（走墓碑，不是偷偷刪列）。	クリーンアップ結果も他の端末に同期されます（トゥームストーン経由で、行の隠し削除ではありません）。
知道了	Got it	知道了	わかりました
设置都保存在 SharedPreferences（knownotes_ui），不参与同步、不写进导出文件。	Settings live in SharedPreferences (knownotes_ui); they are not synced or written to export files.	設定都保存在 SharedPreferences（knownotes_ui），不參與同步、不寫進匯出檔案。	設定は SharedPreferences（knownotes_ui）に保存され、同期もエクスポートもされません。
已开启：系统会在合适时机每天清理一次回收站	On: the system cleans the trash once a day	已開啟：系統會在適當時機每天清理一次回收筒	オン：システムが適切なタイミングで1日1回ゴミ箱を整理します
已关闭定时清理，回收站里的笔记会一直留着	Scheduled cleanup off; trashed notes are kept indefinitely	已關閉定時清理，回收筒裡的筆記會一直留著	定期クリーンアップはオフです。ゴミ箱のノートは残り続けます
清理失败，请重试	Cleanup failed, try again	清理失敗，請重試	クリーンアップに失敗しました。もう一度お試しください
没有超过 $days 天的笔记需要清理	No notes older than $days days to clean up	沒有超過 $days 天的筆記需要清理	$days 日を超えたノートはなく、クリーンアップの対象はありません
已彻底删除 $removed 条超过 $days 天的笔记（其他设备下次同步也会跟着删）	Permanently deleted $removed notes older than $days days (other devices delete them on next sync)	已永久刪除 $removed 則超過 $days 天的筆記（其他裝置下次同步也會跟著刪除）	$days 日を超えたノート $removed 件を完全に削除しました（他の端末も次回の同期で削除されます）
回收站是空的	Trash is empty	回收筒是空的	ゴミ箱は空です
列表里长按删除的笔记会先落到这里，可以随时恢复	Notes deleted from the list land here first and can be restored anytime	在清單中長按刪除的筆記會先放到這裡，可隨時還原	一覧で長押しして削除したノートはまずここに入り、いつでも復元できます
已恢复到笔记列表	Restored to the notes list	已還原到筆記清單	ノート一覧に復元しました
彻底删除这条笔记？	Delete this note permanently?	永久刪除這則筆記？	このノートを完全に削除しますか？
「${target.note.title.ifBlank { "未命名笔记" }}」会从列表与检索里永久消失，本机无法恢复；	"%1$s" will disappear from the list and search permanently; this device cannot recover it.	「%1$s」會從清單與搜尋中永久消失，本機無法還原；	「%1$s」は一覧と検索から完全に消え、この端末では復元できません。
删除状态会同步给其他设备。	The deletion syncs to your other devices.	刪除狀態會同步給其他裝置。	削除状態は他の端末にも同期されます。
彻底删除	Delete permanently	永久刪除	完全に削除
清空回收站？	Empty the trash?	清空回收筒？	ゴミ箱を空にしますか？
当前 ${notes.size} 条笔记会从列表与检索里永久消失，本机无法恢复；	The current ${notes.size} notes will disappear from the list and search permanently; this device cannot recover them;	目前 ${notes.size} 則筆記會從清單與搜尋中永久消失，本機無法還原；	現在のノート ${notes.size} 件は一覧と検索から永久に消え、この端末では復元できません；
已永久删除 $removed 条	Permanently deleted $removed	已永久刪除 $removed 則	$removed 件を完全に削除しました
删除于 ${formatTime(item.note.updatedAt)}	Deleted ${formatTime(item.note.updatedAt)}	刪除於 ${formatTime(item.note.updatedAt)}	削除日時 ${formatTime(item.note.updatedAt)}
恢复	Restore	還原	復元
